'The Moon Is a Harsh Mistress' Coming To the Big Screen,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/aBYf32K_c3Y/the-moon-is-a-harsh-mistress-coming-to-the-big-screen,"HughPickens.com writes: According to the Hollywood Reporter, Twentieth Century Fox recently picked up the movie rights to The Moon is a Harsh Mistress, based on the classic sci-fi book by Robert A. Heinlein. It will retitled as Uprising. Heinlein's 1966 sci-fi novel centers on a lunar colony's revolt against rule from Earth, and the book popularized the acronym TANSTAAFL (There ain't no such thing as a free lunch), a central, libertarian theme. The novel was nominated for the 1966 Nebula award (honoring the best sci-fi and fantasy work in the U.S.) and won the Hugo Award for best science fiction novel in 1967. An adaptation has been attempted twice before &mdash; by DreamWorks, which had a script by Ted Elliott and Terry Rossio, and by Phoenix Pictures, with Harry Potter producer David Heyman attached &mdash; but both languished and the rights reverted to Heinlein's estate. Brian Singer, who previously directed X-Men: Days of Future Past, will adapt the screenplay and reportedly direct. Several of Heinlein's works have been adapted for the big and small screen, including the 1953 film Project Moonbase, the 1994 TV miniseries Red Planet, the 1994 film The Puppet Masters, the 2014 film Predestination, and &mdash; very loosely &mdash; the 1997 film Starship Troopers.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status='The+Moon+Is+a+Harsh+Mistress'+Coming+To+the+Big+Screen%3A+http%3A%2F%2Fbit.ly%2F1aLxqMD""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fentertainment.slashdot.org%2Fstory%2F15%2F03%2F04%2F179222%2Fthe-moon-is-a-harsh-mistress-coming-to-the-big-screen%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://entertainment.slashdot.org/story/15/03/04/179222/the-moon-is-a-harsh-mistress-coming-to-the-big-screen?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://entertainment.slashdot.org/story/15/03/04/179222/the-moon-is-a-harsh-mistress-coming-to-the-big-screen?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053065&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/aBYf32K_c3Y"" height=""1"" width=""1"" alt=""""/>"
"<em>Star Trek</em> Fans Told To Stop ""Spocking"" Canadian $5 Bill",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/6j56ucpqHH0/star-trek-fans-told-to-stop-spocking-canadian-5-bill,"bellwould writes The Toronto Sun is reporting that Bank of Canada executives are urging Star Trek fans to stop altering Wilfred Laurier's face on the Canadian $5 bill to look like Spock. Although not illegal to draw on the bills, a Bank of Canada spokesperson points out that the markings may reduce effectiveness of the security features or worse, the money may not be accepted.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Star+Trek+Fans+Told+To+Stop+%22Spocking%22+Canadian+%245+Bill%3A+http%3A%2F%2Fbit.ly%2F1aLJNZ4""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fnews.slashdot.org%2Fstory%2F15%2F03%2F04%2F2031241%2Fstar-trek-fans-told-to-stop-spocking-canadian-5-bill%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://news.slashdot.org/story/15/03/04/2031241/star-trek-fans-told-to-stop-spocking-canadian-5-bill?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://news.slashdot.org/story/15/03/04/2031241/star-trek-fans-told-to-stop-spocking-canadian-5-bill?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053843&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/6j56ucpqHH0"" height=""1"" width=""1"" alt=""""/>"
"After 400 Million Years, Coelacanth at Risk of Extinction (Scientific American)",http://news.feedzilla.com/en_us/stories/science/424048817?client_source=api&format=json,"It may have hidden in the ocean for millions of years, but life today poses
numerous challenges for the West Indian Ocean coelacanth (Latimeria
chalumnae), the ""living fossil"" fish that was famously...


-- Read more on ScientificAmerican.com

"
DNews: Ant Bathroom Habits Go Under the Microscope (Discovery),http://news.feedzilla.com/en_us/stories/science/424100154?client_source=api&format=json,"Even if you haven't been wondering how ants poop and then handle their waste,
you might be fascinated once you learn the answers. It turns out they're not
as slobby as you might guess, and they even have toilet areas -- of a sort!

"
Demand For Linux Skills Rising This Year,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/2HMb-2YmH7Q/demand-for-linux-skills-rising-this-year,"Nerval's Lobster writes This year is shaping up as a really good one for Linux, at least on the jobs front. According to a new report (PDF) from The Linux Foundation and Dice, nearly all surveyed hiring managers want to recruit Linux professionals within the next six months, with 44 percent of them indicating they're more likely to hire a candidate with Linux certification over one who does not. Forty-two percent of hiring managers say that experience in OpenStack and CloudStack will have a major impact on their hiring decisions, while 23 percent report security is a sought-after area of expertise and 19 percent are looking for Linux-skilled people with Software-Defined Networking skills. Ninety-seven percent of hiring managers report they will bring on Linux talent relative to other skills areas in the next six months.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Demand+For+Linux+Skills+Rising+This+Year%3A+http%3A%2F%2Fbit.ly%2F1Fa8vLN""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Flinux.slashdot.org%2Fstory%2F15%2F03%2F04%2F1740233%2Fdemand-for-linux-skills-rising-this-year%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://linux.slashdot.org/story/15/03/04/1740233/demand-for-linux-skills-rising-this-year?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://linux.slashdot.org/story/15/03/04/1740233/demand-for-linux-skills-rising-this-year?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053217&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/2HMb-2YmH7Q"" height=""1"" width=""1"" alt=""""/>"
Descendants of Holocaust Survivors Have Altered Stress Hormones (Scientific American),http://news.feedzilla.com/en_us/stories/science/424003296?client_source=api&format=json,"Parents' traumatic experience may hamper their offspring's ability to bounce
back from trauma


-- Read more on ScientificAmerican.com

"
"Drones Underwater, Drones on Wheels (Video)",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/RLz5qsZn9cE/drones-underwater-drones-on-wheels-video,"Rocky Mountain Unmanned Systems seems to be primarily in the business of selling aerial 'copter drones ranging in price from sub-$100 up into $1000s. But there they were at the 2015 CES (Consumer Electronics Show), showing off a submarine drone and a wheeled drone. These products don't seem to be on the company's website or even on their Facebook page quite yet. Jon McBride, the person manning their CES booth, told Timothy these products would be around soon, as in February. But it looks like a bit of extra patience is in order, although you can contact Jon through the company's Facebook page (his suggestion) if you have an urgent need for an underwater or wheeled drone for your business or government agency -- or even just for fun.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Drones+Underwater%2C+Drones+on+Wheels+(Video)%3A+http%3A%2F%2Fbit.ly%2F1wVVUHv""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F15%2F03%2F04%2F2026247%2Fdrones-underwater-drones-on-wheels-video%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://hardware.slashdot.org/story/15/03/04/2026247/drones-underwater-drones-on-wheels-video?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://hardware.slashdot.org/story/15/03/04/2026247/drones-underwater-drones-on-wheels-video?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053833&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/RLz5qsZn9cE"" height=""1"" width=""1"" alt=""""/>"
Family of California Teen Declared Brain Dead Sues Hospital for Malpractice (bioethicscom),http://news.feedzilla.com/en_us/stories/science/424069919?client_source=api&format=json,"(ABC News) - The California family that fought to keep their teenage daughter
on life support after she was declared brain dead is suing her doctor and the
hospital where she went into cardiac arrest for negligence and wrongful death
… Read More

"
Fossil jaw sheds light on turning point in human evolution (The Arizona Republic),http://news.feedzilla.com/en_us/stories/science/424049274?client_source=api&format=json,"NEW YORK (AP) -- A fragment of jawbone found in Ethiopia is the oldest known
fossil from an evolutionary tree branch that eventually led to modern humans,
scientist reported Wednesday....

"
Gulf of Mexico Turns Deadly for Dolphins (New York Times),http://news.feedzilla.com/en_us/stories/science/423852698?client_source=api&format=json,"A scientific explanation has proved elusive, but evidence is building that the
BP Deepwater Horizon oil spill has played a role in harming the mammals.

"
